FEMA No. and Substance,Beverages (ppm),Density
"2001 ACACIA, GUM [Acacia senegal (L.) Willd.]—Arabic, gum",330,1.49
2002 ACETAL—Acetaldehyde diethyl acetal,7.3,0.831
2003 ACETALDEHYDE—Ethanal,3.9,0.784
2004 ACETALDEHYDE PHENETHYL PROPYL ACETAL—Acetal R; Pepital,-,0.951
2005 ACETANISOLE—4-Methoxyacetophenone; p-Acetyl anisole,2.3,1.09
2006 ACETIC ACID—Ethanoic acid,39,1.05
2007 (tri-)ACETIN—Glyceryl triacetate; Enzactin; Vanay,190,1.16
2008 ACETOIN—3-Hydroxy-2-butanone; Acetyl methyl carbinol,7.4,1.01
2009 ACETOPHENONE—Methyl phenyl ketone; Acetyl benzene,0.98,1.03
"2010 ACONITIC ACID—1-Propene-1,2,3-tricarboxylic acid",2,1.66
"2011 ADIPIC ACID—1,4-Butanedicarboxylic acid; Hexanedioic acid",40,1.36
2012 AGAR—Gelidium cartilagineum (L.) Gaillon,420,0.72
"2013 *ALFALFA, EXTRACT—Medicago sativa L.",10,1.432
2014 ALGIN—Laminaria spp. and other kelps,100,1.424
"2015 ALGINATES, SODIUM, CALCIUM, and AMMONIUM",340,1.601
"2016 ALKANET ROOT, EXTRACT (Alkanna tinctoria Tausch)",1,1.115
2017 ALLSPICE—Pimenta officinalis Lindl.,120,0.887
"2018 *ALLSPICE, OIL—Pimenta officinalis Lindl.",18,0.948
"2019 *ALLSPICE, OLEORESIN—Pimenta officinalis Lindl.",-,0.95
2020 ALLYL ANTHRANILATE,1.1,1.015
2021 ALLYL BUTYRATE,1.2,0.882
2022 ALLYL CINNAMATE,1,0.928
2023 ALLYL CYCLOHEXANEACETATE,1.1,1.079
2024 ALLYL CYCLOHEXANEBUTYRATE,1,0.984
2025 ALLYL CYCLOHEXANEHEXANOATE,1.4,0.932
2026 ALLYL CYCLOHEXANEPROPIONATE,3.7,0.9
2027 ALLYL CYCLOHEXANEVALERATE,1.2,0.9
2028 ALLYL DISULFIDE—Diallyl disulfide,-,0.9
2029 ALLYL 2-ETHYLBUTYRATE,0.5,0.9
2030 ALLYL 2-FUROATE,0.53,1.2
2031 ALLYL HEPTANOATE—Allyl enanthate; Allyl heptoate,1.3,0.9
2032 ALLYL HEXANOATE—2-Propenyl hexanoate,7,0.908
"2033 ALLYL-IONONE—1-(2,6,6-Trimethyl-2-cyclohexene-1-yl)-1,6-heptadien-3-one",0.5,0.938
2034 ALLYL ISOTHIOCYANATE—Mustard oil,0.5,1.013
2035 ALLYL MERCAPTAN—2-Propene-1-thiol; Allylthiol,0.25,0.925
2036 ALLYL NONANOATE,0.7,0.887
2037 ALLYL OCTANOATE,1.7,0.898
2038 ALLYL PHENOXY ACETATE—Acetate PA,0.82,1.104
2039 ALLYL PHENYLACETATE,3,1.045
2040 ALLYL PROPIONATE,3,0.934
"2041 ALLYL SORBATE—2,4-Hexadienoate",0.86,1.025
2042 ALLYL SULFIDE—Thioallyl ether; Diallyl sulfide,0.04,0.888
2043 ALLYL TIGLATE—Allyl trans-2-methyl-2-butenoate,0.28,0.965
2044 ALLYL 10-UNDECENOATE—Allyl undecylenate,1,0.898
2045 ALLYL iso-VALERATE,8.6,0.905
"2046 *ALMONDS, BITTER, OIL (FFPA)—Prunus amygdalus",80,1.049
"2047 ALOE, EXTRACT—Aloe spp.",2000,1
2048 ALTHEA ROOT [Althea officinalis L.],10,1
"2049 *AMBERGRIS, TINCTURE",2,1
"2050 AMBRETTE, ABSOLUTE, OIL—Hibiscus abelmoschus",0.14,1
"2051 *AMBRETTE SEED, OIL—Hibiscus abelmoschus",0.3,1
"2052 *AMBRETTE, TINCTURE—Hibiscus abelmoschus",5,1
2053 AMMONIUM SULFIDE,-,1.01
2054 AMMONIUM iso-VALERATE,-,1
2055 iso-AMYL ACETATE—Amyl acetate,28,0.876
